Higgs_mass_GeV,l1prefiring_scale,systematics_down,systematics_up
300,0.99951,0.999260,1.000370
350,0.99944,0.999240,1.000406
400,0.99939,0.999150,1.000442
450,0.99932,0.999079,1.000487
500,0.99924,0.998969,1.000540
600,0.99914,0.998851,1.000642
700,0.99904,0.998728,1.000709
800,0.99894,0.998626,1.000795
900,0.99888,0.998549,1.000821
1000,0.99883,0.998471,1.000846
1200,0.99871,0.998331,1.000954
1400,0.99869,0.998219,1.001006
1600,0.99857,0.998053,1.001039
1800,0.99841,0.997949,1.001139
2000,0.99850,0.997746,1.001127
